ofertas,Empresa,Rango_Salario,Publicado,Link
Lider/coordinador marketing digital,Credifamilia CF,"$4 a $4,5 millones",17 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/lidercoordinador-marketing-digital/1884397332
Representante cuentas claves en bogota,Empresa confidencial,"$4 a $4,5 millones",10 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/representante-cuentas-claves-en-bogota/1884385490
Coordinador de negocios fiduciarios,Empresa confidencial,"$4 a $4,5 millones",9 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-negocios-fiduciarios/1884383249
Director tics,Empresa confidencial,"$4 a $4,5 millones",8 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/director-tics/1884381711
Director de programa academico comercio internacional,Empresa confidencial,"$4 a $4,5 millones",7 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-academico-comercio-internacional/1884379357
Director de programa derecho,Empresa confidencial,"$4 a $4,5 millones",7 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-derecho/1884379358
Gerente comercial libranza,Empresa confidencial,"$4 a $4,5 millones",3 Ene 2020,https://www.elempleo.com/co/ofertas-trabajo/gerente-comercial-libranza/1883375253
Cientifico de datos,Excel Credit SAS,"$4 a $4,5 millones",27 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/cientifico-de-datos/1884370530
Ingeniero desarrollador java/android,Empresa confidencial,"$4 a $4,5 millones",19 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-desarrollador-javaandroid/1884361338
Director de programa derecho,Empresa confidencial,"$4 a $4,5 millones",17 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-derecho/1884358070
Coordinador ingenieria de sistemas,Empresa confidencial,"$4 a $4,5 millones",17 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ingenieria-de-sistemas/1884358062
Director de programa academico comercio internacional,Empresa confidencial,"$4 a $4,5 millones",17 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-academico-comercio-internacional/1884358079
Director tics,Empresa confidencial,"$4 a $4,5 millones",12 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/director-tics/1884351991
Desarrollador sql,Empresa confidencial,"$4 a $4,5 millones",11 Dic 2019,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-sql/1884349627
Lider de protectos ti,Empresa confidencial,"$4 a $4,5 millones",29 Oct 2019,https://www.elempleo.com/co/ofertas-trabajo/lider-de-protectos-ti/1884281931
Vendedor superetes-autoservicios bogota,Empresa confidencial,"$4 a $4,5 millones",11 Oct 2019,https://www.elempleo.com/co/ofertas-trabajo/vendedor-superetesautoservicios-bogota/1884256642
Jefe de impuestos,Empresa confidencial,"$4 a $4,5 millones",7 Oct 2019,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-impuestos/1884247063
Coordinador de negocios inmobiliarios,Empresa confidencial,"$4 a $4,5 millones",18 Sep 2019,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-negocios-inmobiliarios/1884219110
