ofertas,Empresa,Rango_Salario,Publicado,Link
!!presentate ya!! tecnico linea blanca - contratacion inmediata,OUTSOURCING S.A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/presentate-ya-tecnico-linea-blanca-contratacion-inmediata/1884479387
"Docente, capacitador, seguridad de la informacion/ santamarta y bogota",Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-capacitador-seguridad-de-la-informacion-santamarta-y-bogota/1884478805
Jefe comercial - barranquilla,Banco Falabella S.A.,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-comercial-barranquilla/1884416282
Gestor de requerimientos,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-requerimientos/1884478255
Profesional cadena de suministro contratacion,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-cadena-de-suministro-contratacion/1884478230
Mecanico 1,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/mecanico-/1884448889
!!excelente ingresos!! tecnico linea blanca - contratacion inmediata,OUTSOURCING S.A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/excelente-ingresos-tecnico-linea-blanca-contratacion-inmediata/1884479146
"Asesor comercial excelentes comisiones, bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-excelentes-comisiones-bogota/1884479533
Residente forestal,Empresa confidencial,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-forestal/1884479431
Jefe de proyectos logisticos,ACTIVOS S.A.S.,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-logisticos/1884478574
!!excelente ingresos!! tecnico linea blanca - contratacion inmediata,OUTSOURCING S.A,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/excelente-ingresos-tecnico-linea-blanca-contratacion-inmediata/1884479146
Coordinador contable,Alpha Capital S.A.S,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-contable/1884479310
Representante comercial-telecomunicaciones,Human BPO,"$4 a $4,5 millones",11 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/representante-comercialtelecomunicaciones/1884479371
Residente de estructura 6 anos de experiencia,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-de-estructura-anos-de-experiencia/1884475965
Jefe de it,SIGRA S.A.,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-it/1884477472
Ingeniero de desarrollo,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo/1884476675
Ejecutivo comercial educativo - bogota,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-educativo-bogota/1884476386
